iter	Passed	Remaining
658	920	476
659	921	474
660	922	473
661	924	472
662	926	470
663	927	469
664	928	467
665	929	466
666	930	464
667	931	462
668	932	461
669	933	459
670	933	457
671	934	456
672	935	454
673	936	452
674	937	451
675	939	450
676	941	449
677	942	447
678	943	446
679	944	444
680	945	442
681	946	441
682	947	439
683	948	438
684	949	436
685	950	435
686	951	433
687	955	433
688	957	432
689	958	430
690	959	429
691	960	427
692	962	426
693	963	424
694	964	423
695	965	421
696	966	420
697	967	418
698	970	417
699	972	416
700	973	415
701	974	413
702	976	412
703	977	410
704	978	409
705	979	407
706	980	406
707	980	404
708	981	402
709	982	401
710	986	401
711	988	399
712	989	398
713	990	396
714	991	395
715	992	393
716	992	391
717	993	390
718	994	388
719	995	387
720	996	385
721	997	384
722	998	382
723	1000	381
724	1002	380
725	1003	378
726	1004	377
727	1005	375
728	1006	374
729	1007	372
730	1008	371
731	1009	369
732	1010	368
733	1011	366
734	1012	365
735	1013	363
736	1015	362
737	1016	360
738	1017	359
739	1018	357
740	1019	356
741	1020	354
742	1021	353
743	1022	351
744	1023	350
745	1023	348
746	1024	347
747	1025	345
748	1026	343
749	1027	342
750	1028	340
751	1029	339
752	1031	338
753	1032	336
754	1033	335
755	1033	333
756	1034	332
757	1035	330
758	1036	329
759	1037	327
760	1038	326
761	1038	324
762	1039	322
763	1040	321
764	1041	319
765	1042	318
766	1043	316
767	1043	315
768	1045	313
769	1046	312
770	1047	311
771	1048	309
772	1049	308
773	1050	306
774	1051	305
775	1052	303
776	1053	302
777	1054	300
778	1054	299
779	1055	297
780	1056	296
781	1057	294
782	1058	293
783	1059	291
784	1060	290
785	1061	289
786	1062	287
787	1063	286
788	1064	284
789	1065	283
790	1066	281
791	1066	280
792	1067	278
793	1068	277
794	1069	275
795	1070	274
796	1071	272
797	1071	271
798	1072	269
799	1073	268
800	1074	267
801	1076	265
802	1076	264
803	1077	262
804	1078	261
805	1079	259
806	1080	258
807	1080	256
808	1081	255
809	1082	253
810	1083	252
811	1084	251
812	1085	249
813	1085	248
814	1086	246
815	1087	245
816	1088	243
817	1089	242
818	1090	240
819	1091	239
820	1092	238
821	1093	236
822	1094	235
823	1095	233
824	1096	232
825	1097	231
826	1098	229
827	1098	228
828	1099	226
829	1100	225
830	1101	224
831	1102	222
832	1103	221
833	1104	219
834	1106	218
835	1107	217
836	1108	215
837	1109	214
838	1110	213
839	1110	211
840	1111	210
841	1112	208
842	1113	207
843	1113	205
844	1114	204
845	1115	203
846	1116	201
847	1117	200
848	1118	198
849	1118	197
850	1119	196
851	1121	194
852	1122	193
853	1123	192
854	1123	190
855	1124	189
856	1125	187
857	1126	186
858	1127	185
859	1128	183
860	1128	182
861	1129	180
862	1130	179
863	1131	178
864	1132	176
865	1133	175
866	1133	173
867	1134	172
868	1135	171
869	1137	169
870	1138	168
871	1138	167
872	1139	165
873	1140	164
874	1141	163
875	1142	161
876	1143	160
877	1144	158
878	1144	157
879	1145	156
880	1146	154
881	1147	153
882	1148	152
883	1149	150
884	1150	149
885	1151	148
886	1152	146
887	1153	145
888	1154	144
889	1154	142
890	1155	141
891	1156	140
892	1157	138
893	1158	137
894	1159	135
895	1159	134
896	1160	133
897	1161	131
898	1162	130
899	1163	129
900	1163	127
901	1164	126
902	1165	125
903	1167	123
904	1168	122
905	1168	121
906	1169	119
907	1170	118
908	1171	117
909	1172	115
910	1173	114
911	1173	113
912	1174	111
913	1175	110
914	1176	109
915	1177	107
916	1178	106
917	1178	105
918	1179	103
919	1180	102
920	1182	101
921	1182	100
922	1183	98
923	1184	97
924	1185	96
925	1186	94
926	1186	93
927	1187	92
928	1188	90
929	1189	89
930	1190	88
931	1190	86
932	1191	85
933	1192	84
934	1193	82
935	1194	81
936	1195	80
937	1196	79
938	1197	77
939	1198	76
940	1199	75
941	1200	73
942	1201	72
943	1201	71
944	1202	69
945	1203	68
946	1204	67
947	1204	66
